mcn,y,x,location,address
大眼互娱,39.917339,116.544763,"(39.917339,116.544763)",北京大眼星罔文化传媒有限公司
0ST娱乐,30.636318,103.982427,"(30.636318,103.982427)",成都星娱时代文化传播有限公司             
极米传媒集闭,23.129187,113.385386,"(23.129187,113.385386)",广州极米网络科技有限公司
先飞传媒,22.808521,113.530732,"(22.808521,113.530732)",深圳先飞传媒有限公司
网星梦工厂,40.006045,116.495248,"(40.006045,116.495248)",婉锐（上海）电子商务有限公司
非多宝文化,29.534878,106.49225,"(29.534878,106.49225)",重庆飞多宝文化传播有限公司
指趣传悦,39.680798,116.266755,"(39.680798,116.266755)",北京指趣传悦文化传播有限公司
畅所欲言,29.557627,106.466134,"(29.557627,106.466134)",重庆魅影文化传媒有限公司
鹰眼传媒,30.319414,120.144848,"(30.319414,120.144848)",杭州鹰眼传媒苻限公司
构美,30.282433,120.136547,"(30.282433,120.136547)",点兴构美信息技术有限公司
38度传媒,31.195039,121.435389,"(31.195039,121.435389)",上海索洛信息技术有限公司
明峰文化,22.612424,113.853116,"(22.612424,113.853116)",深圳市明峰文化传媒有限公司
网星文化,23.030012,113.777227,"(23.030012,113.777227)",网星（大厂 ）文化传播有限公司
哈密瓜科技,30.522742,114.321816,"(30.522742,114.321816)",武汉哈蜜瓜科技有限公司
乐链,30.256305,120.215527,"(30.466417,120.2488)",杭州乐链文化传媒有限公司
南京头条,32.049888,118.784023,"(32.049888,118.784023)",南京小灿灿网络科技有限公司
健香蕉,34.760093,113.599256,"(34.760093,113.599256)",郑州市黄柳丁文化传播有限公司
秒看网络,24.516231,118.192327,"(24.516231,118.192327)",厦门秒看网络科技有限公司
五月美妆,23.016342,113.356964,"(23.016342,113.356964)",广州五月微营销策划有限公司
熬青文化,40.323989,116.635599,"(40.323989,116.635599)",北京敖竹文化传媒有限公司
雷火文化,39.796094,116.345734,"(39.796094,116.345734)",北京雷火文化传媒有限公司
绕梁咅文化,39.90472537,116.4072155,"(39.9047253699,116.4072154982)",北京绕梁音文化有限公司
上娱娱乐,39.926331,116.527982,"(39.926331,116.527982)",北京上娱娱乐文化传媒有限公司
大吕网络,26.083679,119.303423,"(26.083679,119.303423)",福州市大吕网络科技有限公司
朗顿娱乐,23.112037,113.475181,"(23.112037,113.475181)",广州朗顿网络科技有限公司
